    BEGIN:|U|  BEGIN:Ph(U)  BEGIN:TBeg  HX:HeatIn   HX:HeatIn     RPN:dT     RPN:COP   
      m^3/s        deg          K           W           W           _           _      
         0f          0g          0c          1e         13e          9A         16A    
     4.0600E-3       -6.1500     340.940     -284.47       196.220       69.8670       2.32580
     4.0600E-3       -6.3000     340.940     -284.43       196.200       69.8540       2.32650
     4.0600E-3       -6.4500     340.940     -284.38       196.190       69.8400       2.32730
     4.0600E-3       -6.6000     340.930     -284.32       196.170       69.8270       2.32800
     4.0600E-3       -6.7500     340.930     -284.27       196.150       69.8140       2.32870
     4.0600E-3       -6.9000     340.920     -284.21       196.120       69.8000       2.32940
     4.0600E-3       -7.0500     340.920     -284.15       196.100       69.7860       2.33010
     4.0600E-3       -7.2000     340.910     -284.09       196.080       69.7720       2.33080
     4.0600E-3       -7.3500     340.910     -284.03       196.050       69.7580       2.33150
     4.0600E-3       -7.5000     340.900     -283.96       196.020       69.7440       2.33210
     4.0600E-3       -7.6500     340.890     -283.90       195.990       69.7300       2.33280
     4.0600E-3       -7.8000     340.890     -283.83       195.960       69.7160       2.33350
     4.0600E-3       -7.9500     340.880     -283.76       195.930       69.7010       2.33420
     4.0600E-3       -8.1000     340.880     -283.69       195.890       69.6870       2.33480
     4.0600E-3       -8.2500     340.870     -283.61       195.860       69.6720       2.33550
     4.0600E-3       -8.4000     340.870     -283.54       195.820       69.6570       2.33610
     4.0600E-3       -8.5500     340.860     -283.46       195.780       69.6420       2.33680
