% Model:              V2_FullGeometrie_TaRIX.mph
% Version:            COMSOL 6.2.0.290
% Date:               May 3 2025, 11:24
% Dimension:          1
% Nodes:              668
% Expressions:        1
% Description:        Graphique sur ligne
% Longueur d'arc (mm)     T-293
97.50401253311352         -12.399000817782163
97.61927190462622         -12.400111101204029
97.70607363683679         -12.400947254681164
98.11434964716511         -12.404880141698197
98.19577667237441         -12.40566452109395
98.26645212066185         -12.406345331491721
98.3039381285035          -12.406706430919144
98.72736524793159         -12.410785267241923
98.824470250781           -12.411998602685895
99.31316468685358         -12.418104882106704
99.69415798221894         -12.422865426420776
99.91744851457669         -12.425655461014909
100.31625589291659        -12.430638593842843
100.62495024351044        -12.434495756562967
101.24751026293313        -12.440519984656543
101.49647588968969        -12.442929110967658
101.62521628609566        -12.444752334790522
102.01355287098782        -12.450251964530917
102.01464667874802        -12.450267455056206
102.380548989427          -12.455449370199336
102.62502822667183        -12.458911689579907
103.18094697809755        -12.466784620994382
103.24569208573327        -12.467701542379979
103.33069173313892        -12.46890530892421
103.75358056365398        -12.47489426819217
104.14021259832768        -12.480369758061546
104.42771770837705        -12.48466036597316
104.59217260790182        -12.487114623196218
104.70559906781088        -12.48880735299218
105.05427171708517        -12.4940108000797
105.20257914786512        -12.496224079126264
105.43058774942516        -12.499626785636757
105.45638536924251        -12.500011778695384
105.47696740418651        -12.500318936512341
105.50129129309141        -12.500688056130187
105.93049161876787        -12.507201252305837
106.04573694723224        -12.508950121977435
106.1299956746199         -12.510228764112949
106.27635284264335        -12.512449761838315
106.53069550237           -12.516309459838393
106.67987583209676        -12.51857329957694
106.74374290083072        -12.519542494432914
106.78302394505327        -12.5201385917136
106.91921139252531        -12.522205262004796
107.01317706854775        -12.523290347172207
107.11047619173421        -12.52441392590692
107.23530882742466        -12.526463206704427
107.4109289857962         -12.52934622696764
107.72235290428284        -12.5343249136587
107.84501165043918        -12.536285840327398
108.21352072478562        -12.542177138699405
108.48122215173318        -12.546456840586139
108.57025672764905        -12.547880222773065
108.62906714009647        -12.549130697772558
108.8647697219163         -12.554142398483634
109.22955769946844        -12.561898818257974
109.48291128758915        -12.567285829074466
109.51853108160827        -12.568043206213213
109.59743082250695        -12.569720836914207
109.80202405851985        -12.574071065318535
109.80933784675413        -12.574226577054603
109.81257087645014        -12.574295320371291
109.89451962065615        -12.576037781469669
110.54320270875495        -12.58983061084295
110.75390597159198        -12.594310755625548
110.97017749211332        -12.59890929724869
111.21878251366323        -12.60419534016625
111.56787433590159        -12.611618015472695
111.67872644791123        -12.61428936747156
111.77759956042696        -12.616405944940688
