% Model:              H_FullGeometrie_TaRIX.mph
% Version:            COMSOL 6.2.0.290
% Date:               May 3 2025, 13:40
% Dimension:          1
% Nodes:              638
% Expressions:        1
% Description:        Graphique sur ligne
% Longueur d'arc inversée (mm) T-293
32.98375383136239         -11.546833737577273
33.710520696565126        -11.562033168439651
34.36823989302937         -11.575788552638073
34.39296522424472         -11.576559397000826
34.52151820559082         -11.580567203412922
34.662144744940335        -11.58711937712538
34.821324220231276        -11.591994439299928
34.95653233952653         -11.596389006327582
35.005777351767364        -11.597989579637812
35.52501547926494         -11.612223121244142
35.67228827599726         -11.616260215919514
35.81134163739506         -11.620071996488276
35.9391439195814          -11.623575358442164
36.32972050439578         -11.634281983737974
36.61797675092535         -11.642183767256912
36.70490712438985         -11.644566733803536
36.71876982524833         -11.644946743126804
36.81942909429239         -11.647706051078451
37.13442552952665         -11.656340846231805
37.29251259990846         -11.660674385651468
37.38565704647536         -11.663227694596628
37.62619801310163         -11.669821489765337
37.79958596839617         -11.67457446252489
37.939130554657496        -11.67839970872562
38.31484317402432         -11.686056287454997
38.335932535811054        -11.686486063700324
38.411784048586796        -11.68803182780132
38.87878819845356         -11.697548819927958
39.43094914063752         -11.708801206744868
39.48656168068847         -11.709934524523648
39.557658664987756        -11.71138339695872
39.8184458422496          -11.716697931130291
40.146181025757414        -11.723376786472286
40.60459939946196         -11.732718810637389
40.63719082556584         -11.733382985347005
40.758103486045655        -11.735847042332637
41.2966430758443          -11.746821842101475
41.31047940269599         -11.747123345175925
41.411359552139444        -11.7493215929865
41.48339443012341         -11.750647608605796
41.68164771082613         -11.75484019143564
41.78707883024009         -11.756168728001768
42.71747809858459         -11.774212541109398
42.71949109395295         -11.774251580383664
42.72197373088011         -11.774299727709497
42.73258972713508         -11.774505610343859
42.79516258398435         -11.775760682426382
42.80602475503002         -11.775978553374285
43.134059165881254        -11.78255819272427
43.71042405830582         -11.793796195403235
43.73199491653736         -11.794216785494305
43.74556382210422         -11.794481352956888
43.835113939793914        -11.796227407367427
43.84496369107404         -11.796419458501576
43.86906382752615         -11.79688936463495
44.14227430369442         -11.802216441463283
44.3459554875119          -11.806187831323216
44.68348767797238         -11.812917648651691
44.693302970901215        -11.81311334888504
45.00403370528383         -11.819308790800921
45.64167108013507         -11.832022194665283
45.813631265887835        -11.835226332980596
45.81516813151153         -11.835254969435068
46.19150104198435         -11.842515627725955
46.43101879744448         -11.84631324311969
46.684774580520724        -11.850632035733602
47.28435765121584         -11.860836630504851
47.35508934483269         -11.862040447467205
47.37940245576755         -11.862454244081626
47.71238424352062         -11.868121422453214
47.893533826316244        -11.871204494967687
48.32794117305977         -11.87859788406724
48.57881475876256         -11.882867623167662
48.739993906520496        -11.885610809172785
49.35604885518801         -11.896095746815641
49.426949198686856        -11.897302434112042
49.70406087146836         -11.902018731928504
49.76760356952035         -11.903100195892351
49.79602195449098         -11.903418557479664
49.81226612119298         -11.903600535403504
50.74664109348868         -11.914068023251
51.07328304326714         -11.919642321147244
51.139554721969375        -11.920773278390858
51.37049992322565         -11.92471446644213
51.45785071100346         -11.926205148557134
51.72928533410649         -11.93030999469878
52.15326092915218         -11.936721684429349
52.39044224099412         -11.940308525273942
53.02958063595712         -11.949974074733145
53.42433488516863         -11.955943856473773
53.607208936685666        -11.958709420557668
53.65614057036325         -11.959449402898203
53.98145960824246         -11.964369131200273
54.33948803431623         -11.969783516390223
54.60131056091079         -11.973743000909188
54.731833509991546        -11.975716870778133
54.921838899732364        -11.97859028052245
55.39282291756243         -11.98635000041778
55.88724147634994         -11.992518602466154
56.52111426957417         -12.00042710213955
56.5396110857196          -12.000657877250912
56.68068495223474         -12.002417982179196
57.023031615149804        -12.006689262632946
57.065117850371365        -12.0072143506018
57.19671405498089         -12.008856207694112
57.32019685744588         -12.010396838106722
